course_id,course_number,course_name,location_id
49310-CLND-49-COLLEGE-COURS6A,CLASSE-6A,6A,0491929F-0490837U
49310-CLND-49-COLLEGE-COURS6B,CLASSE-6B,6B,0491929F-0490837U
49310-CLND-49-LYCEE-COURS21,CLASSE-21,2NDE1,0491929F-0490837U
49310-CLND-49-LYCEE-COURS22,CLASSE-22,2NDE2,0491929F-0490837U
49310-CLND-49-LYCEE-COURS23,CLASSE-23,2NDE3,0491929F-0490837U
49310-CLND-49-COLLEGE-COURS5A,CLASSE-5A,5A,0491929F-0490837U
49310-CLND-49-COLLEGE-COURS5B,CLASSE-5B,5B,0491929F-0490837U
49311-CLND-49-COLLEGE-COURSMOBILE,CLASSE-MOBILE,CLASSE_MOBILE,0491929F-0490837U
49310-CLND-49-COLLEGE-COURS6A-gr1,Groupe1-6A,Groupe1-6A,0491929F-0490837U
49310-CLND-49-COLLEGE-COURS6AB-gr2,Groupe2-6A_6B,Groupe2-6A_6B,0491929F-0490837U
49310-CLND-49-COLLEGE-COURS6B-gr3,Group3-6B,Group3-6B,0491929F-0490837U
49310-CLND-49-LYCEE-COURS_ICN,ICN,ICN,0491929F-0490837U
49310-CLND-49-LYCEE-COURS_LS,LS,LS,0491929F-0490837U
49310-CLND-49-LYCEE-COURS_MPS1,MPS1,MPS1,0491929F-0490837U
49310-CLND-49-LYCEE-COURS_MPS2,MPS2,MPS2,0491929F-0490837U
49310-CLND-49-LYCEE-COURS_5all,5-ALL,5-ALL,0491929F-0490837U
49310-CLND-49-LYCEE-COURS_5esp1,5-ESP1,5-ESP1,0491929F-0490837U
49310-CLND-49-LYCEE-COURS_5esp2,5-ESP2,5-ESP2,0491929F-0490837U
49310-CLND-49-COLLEGE-COURSLATIN,5-LATIN,5-LATIN,0491929F-0490837U
